City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
179,Hammerfest,NO,70.6634,23.6821,19.85,73,0,clear sky
180,Teknaf,BD,20.8624,92.3058,73.35,90,9,clear sky
181,Yueyang,CN,29.3333,113.0919,54.25,51,100,overcast clouds
182,Aklavik,CA,68.2191,-135.0107,15.8,73,90,light snow
183,Nishihara,JP,26.1842,127.7558,65.48,73,20,few clouds
184,Kavieng,PG,-2.5744,150.7967,80.4,86,100,moderate rain
185,Poum,NC,-20.2333,164.0167,81.63,75,10,clear sky
186,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,scattered clouds
187,Rute,ES,37.3269,-4.3683,50.38,73,35,scattered clouds
188,Ust-Kulom,RU,61.6864,53.6902,13.6,96,100,light snow
189,Kruisfontein,ZA,-34.0033,24.7314,62.89,93,97,overcast clouds
190,Marzuq,YE,14.4,46.4667,58.78,13,0,clear sky
191,Haifa,IL,32.8156,34.9892,59.22,84,56,broken clouds
192,Puerto Escondido,MX,15.85,-97.0667,86.83,62,40,scattered clouds
193,Kijang,KR,35.2442,129.2139,44.33,75,70,broken clouds
194,Carupano,VE,10.6678,-63.2585,80.37,77,44,scattered clouds
195,Luderitz,NA,-26.6481,15.1594,61.36,92,0,clear sky
196,Sangin,AF,32.0728,64.8359,46.13,33,0,clear sky
197,Georgetown,MY,5.4112,100.3354,79.9,82,20,few clouds
198,Huilong,CN,31.8111,121.655,56.03,68,100,overcast clouds
199,Togur,RU,58.3631,82.8265,-9.31,100,87,overcast clouds
200,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,88,75,broken clouds
201,Kenora,CA,49.8167,-94.4337,10.38,72,90,overcast clouds
202,Pandan,PH,14.0453,124.1694,77.76,82,100,overcast clouds
203,Flinders,AU,-34.5833,150.8552,63.21,92,100,light rain
204,Benjamin Constant,BR,-4.3831,-70.0311,91.53,62,40,scattered clouds
205,Manjakandriana,MG,-18.9167,47.8,60.49,91,0,clear sky
206,Itoman,JP,26.1247,127.6694,66.22,71,75,broken clouds
207,Pflugerville,US,30.4394,-97.62,80.11,38,1,clear sky
208,Makabe,JP,36.2667,140.1,47.59,69,100,overcast clouds
209,Birnin Kebbi,NG,12.4539,4.1975,73.92,15,26,scattered clouds
210,Corrales,US,35.2378,-106.6067,58.66,47,75,broken clouds
211,Gorontalo,ID,0.5412,123.0595,76.78,95,100,overcast clouds
212,Ndele,CF,8.4109,20.6473,76.59,20,71,broken clouds
213,Mayakonda,IN,14.2833,76.0833,69.28,87,13,few clouds
214,Nabire,ID,-3.3667,135.4833,76.75,86,100,overcast clouds
215,Lolodorf,CM,3.2333,10.7333,71.82,98,76,broken clouds
