City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Alugan,PH,79.25,moderate rain,12.2188,125.4808,JM Lodge
107,Lagoa,PT,60.44,overcast clouds,39.05,-27.9833,Casa Das Faias
108,Itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
109,Maningrida,AU,81.64,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
111,Mehamn,NO,21.38,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
112,Nikolskoye,RU,10.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
113,Kahului,US,79.86,broken clouds,20.8947,-156.47,Maui Seaside Hotel
114,Bowen,AU,75.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
115,Phalaborwa,ZA,72.68,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
116,Businga,CD,73.71,clear sky,3.3333,20.8833,
117,Sainte-Rose,GP,81.18,few clouds,16.3324,-61.6979,Villa - Duzer
118,Barrow,US,8.62,haze,71.2906,-156.7887,King Eider Inn
119,Half Moon Bay,US,60.91,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
120,Tasiilaq,GL,30.36,snow,65.6145,-37.6368,The Red House
121,East London,ZA,70.57,light rain,-33.0153,27.9116,Tu Casa
122,Padang,ID,77.41,broken clouds,-0.9492,100.3543,Mercure Padang
123,Tuy Hoa,VN,73.42,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
124,Martinsburg,US,43.88,broken clouds,39.4562,-77.9639,"Holiday Inn Martinsburg, an IHG Hotel"
125,Nesebar,BG,38.35,broken clouds,42.7833,27.7333,Sunset Complex
126,Abaza,RU,2.57,broken clouds,52.655,90.0928,Гостевой дом «Кедровый»
127,Atuona,PF,78.21,few clouds,-9.8,-139.0333,Villa Enata
128,Margate,GB,43.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
129,Yuzhne,UA,41.22,overcast clouds,46.6221,31.1013,Чорноморська Симфонія
130,Finschhafen,PG,81.05,overcast clouds,-6.6024,147.8681,Cossam Guest House
131,Eyl,SO,75.42,overcast clouds,7.9803,49.8164,Amiin Hotel
132,Belyy Yar,RU,4.86,clear sky,53.6039,91.3903,Pasportnyy Stol
133,Tailai,CN,20.82,overcast clouds,46.3833,123.4,Pearl Garden Hotel
134,Steinbach,DE,38.88,few clouds,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
135,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
136,Saint-Philippe,RE,74.75,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Luanda,AO,78.06,broken clouds,-8.8368,13.2343,Hotel Fórum
138,Puri,IN,73.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
139,Airai,TL,60.28,broken clouds,-8.9266,125.4092,Juvinal Martin
140,Smederevska Palanka,RS,33.58,overcast clouds,44.3655,20.9589,Božić 2018
141,Buraydah,SA,61.25,broken clouds,26.326,43.975,فندق راحة السلام
142,Clarence Town,AU,68.34,overcast clouds,-32.5833,151.7833,River Downs Cottage
143,Anderson,US,59.22,few clouds,34.5334,-82.6499,The Bleckley Inn
144,Butajira,ET,57.69,broken clouds,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
145,Port Lincoln,AU,57.76,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
147,Hushitai,CN,31.91,overcast clouds,41.9322,123.5114,Home Inn Plus Shenyang Shihutai University Town
148,Ejby,DK,35.31,light snow,55.4858,12.0817,AD Apartment
149,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
