City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Castro-Urdiales,ES,2021-12-04 00:18:46,43.3829,-3.2204,54.99,82,46,8.55
90,Narsaq,GL,2021-12-04 00:18:46,60.9167,-46.05,17.82,62,86,11.18
91,Upernavik,GL,2021-12-04 00:19:47,72.7868,-56.1549,11.39,74,31,9.04
92,Talnakh,RU,2021-12-04 00:19:47,69.4865,88.3972,-25.8,97,100,13.11
93,Mahebourg,MU,2021-12-04 00:18:41,-20.4081,57.7,76.24,88,20,5.75
94,Ostrovnoy,RU,2021-12-04 00:19:48,68.0531,39.5131,19.98,75,100,2.82
95,Tiksi,RU,2021-12-04 00:19:48,71.6872,128.8694,-31.95,98,48,6.33
96,Tautira,PF,2021-12-04 00:19:48,-17.7333,-149.15,86.02,76,37,16.22
97,Faanui,PF,2021-12-04 00:19:49,-16.4833,-151.75,81.55,71,33,19.24
98,Antalaha,MG,2021-12-04 00:19:49,-14.9003,50.2788,72.12,89,11,5.14
99,Kapaa,US,2021-12-04 00:19:41,22.0752,-159.319,78.78,66,1,1.99
100,Bengkulu,ID,2021-12-04 00:19:50,-3.8004,102.2655,77.36,85,100,4.14
101,Aswan,EG,2021-12-04 00:19:50,24.0934,32.907,65.37,33,7,8.12
102,Bluff,NZ,2021-12-04 00:14:50,-46.6,168.3333,58.03,98,100,8.79
103,Beloha,MG,2021-12-04 00:19:50,-25.1667,45.05,73.74,54,1,3.15
104,Ankazoabo,MG,2021-12-04 00:19:51,-22.2833,44.5167,76.24,52,0,3.56
105,Salvador,SV,2021-12-04 00:18:37,13.8333,-88.9167,72.0,64,82,2.77
106,Duldurga,RU,2021-12-04 00:19:51,50.6761,113.5931,11.39,83,6,3.71
107,Langham,CA,2021-12-04 00:19:52,52.3668,-106.9679,21.02,88,6,7.25
108,Torbay,CA,2021-12-04 00:19:52,47.6666,-52.7314,47.68,86,75,32.21
109,Brightwater,NZ,2021-12-04 00:19:52,-41.3833,173.1167,64.69,91,100,5.75
